Company Name,Shorthand Company Name,Sector,Industry,Size (2019 Revenue),Net Earnings/Income (2019),IPO Year,S&P 100? (Y/N),Carbon Neutral Goal? (Y/N),Science-Based Target? (Y/N),Carbon Neutral by.... (year),Carbon Neutral Announcement (year),Carbon Goal (if non-zero),Reliance on Offsets? (Y/N),RE100 Commitment? (Y/N),100% Renewable Energy by... (year),2019 Scope 1 (MeT Co2),2019 Scope 2 ,2019 Offsets Purchased,2019 Net Scope 1 + 2 Emissions,2019 Scope 3 ,"2019 Total Scope 1, 2 + 3",2018 Scope 1,2018 Scope 2,2018 Offsets Purchased,2018 Net Scope 1 + 2 Emissions,2018 Scope 3,"2018 Total Scope 1, 2 + Scope 3",2017 Scope 1,2017 Scope 2,2017 Offsets Purchased,2017 Net Scope 1 + 2 Emissions,2017 Scope 3,"2017 Total Scope 1, 2 + 3",2016 Scope 1,2016 Scope 2,2016 Offsets Purchased,2016 Net Scope 1 + 2 Emissions,2016 Scope 3,"2016 Total Scope 1, 2 + 3",2015 Scope 1,2015 Scope 2,2015 Offsets Purchased,2015 Net Scope 1 + 2 Emissions,2015 Scope 3,"2015 Total Scope 1, 2 + 3",Policy Arm?,Initiatives for Carbon Neutrality,Notes,Sources
Duke Energy,Duke Energy,Utilities,Utilities,$25 079 000 000,$3 707 000 000,1900,Y,Y,N,2050,2019,N,N,N,N,  93 000 000 ,  11 122 000 ,  -   ,  104 122 000 ,  19 811 000 ,  123 933 000 ,  96 548 800 ,  23 200 ,,  96 572 000 ,  28 077 642 ,  124 649 642 ,  95 213 400 ,  -   ,,  95 213 400 ,  15 948 080 ,  111 161 480 ,  96 837 200 ,  -   ,,  96 837 200 ,  16 640 509 ,  113 477 709 ,  100 238 000 ,  -   ,,  100 238 000 , NR ,  , N ,"- Enables participants of RE100 by providing RE sources
- 50% CO2 emissions by 2030
- Reports include methane and SF6 emissions in CO2 equivalents",- Scope 3 emissions are non-exhaustive,
DuPont,DuPont,Materials,Chemicals,$21 570 000 000,$498 000 000,1802,Y,Y,N,2050,2018,N,N,N,N,  3 057 000 ,  2 323 000 ,  -   ,  5 380 000 ,  1 302 744 ,  6 682 744 , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,Y,"- The Grindsted, Denmark plant is 100% carbon neutral
- Reduce greenhouse gas (GHGs) emissions 30%,
including sourcing 60% of electricity from renewable energy
by 2030, and deliver carbon neutral operations by 2050
- Positions in various associations (i.e US chamber of commerce climate change task force, World business council for sustainable development, etc)",,
Eli Lilly,Eli Lilly,Healthcare,Drug Manufacturers,$22 320 000 000,$8 318 000 000,1876,Y,N,N,,,700000,N,N,N,  193 000 ,  671 000 ,  -   ,  864 000 ,  240 000 ,  1 104 000 ,  201 000 ,  654 000 ,  -   ,  855 000 ,  265 000 ,  1 120 000 ,  228 000 ,  636 000 ,  -   ,  864 000 ,  232 000 ,  1 096 000 ,  216 000 ,  660 000 ,  -   ,  876 000 ,  248 000 ,  1 124 000 ,  214 000 ,  713 000 ,  -   ,  927 000 ,  237 000 ,  1 164 000 ,N,- goals are vague but progress is being measured and communicated,,
Emerson Electric,Emerson Electric,Industrials,Machinery,$18 372 000 000,$2 306 000 000,1890,Y,N,N,,,N,N,N,N,  163 945 ,  699 739 ,  -   ,  863 684 , NR ,  ,  166 132 ,  699 423 ,  -   ,  865 555 , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,Y,- Developed a universal integrated resouce efficiency metric based on thermodynamics to help policymakers measure efficiency raw materials/energy are used in production of product or service,,
Exelon,Exelon,Utilities,Utilities,$34 438 000 000,$2 936 000 000,2000,Y,,N,,,N,Y,N,N,  9 395 000 ,  6 103 000 ,  1 189 000 ,  14 309 000 ,  180 732 000 ,  195 041 000 ,  9 526 000 ,  6 120 000 ,  1 303 000 ,  14 343 000 ,  197 376 000 ,  211 719 000 ,  10 200 000 ,  6 521 000 ,  1 484 000 ,  15 237 000 ,  195 220 000 ,  210 457 000 , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,Y,"-Policy engagement through trade associations like American Gas association, Energy Storage Association",,
Exxon Mobil,Exxon Mobil,Energy,Oil and Gas,$264 938 000 000,$14 340 000 000,1870,Y,N,N,,,N,N,N,N, NR , NR ,,  , NR ,  ,  116 000 000 ,  8 000 000 ,  -   ,  124 000 000 , NR ,  ,  115 000 000 ,  8 000 000 ,  -   ,  123 000 000 , NR ,  , NR , NR ,,  125 000 000 , NR ,  , NR , NR ,,  122 000 000 , NR ,  ,Y,"-Targets around flaring, but not total GHG reduction targets
- Policy engagement through trade associations, lobbying, and employee political contributions (PAC)
- Large emphasis on development of algae biofuels and carbon capture technology but no measures on emissions offsets as a result of tech development",,
"Facebook, Inc.",Facebook,Communication Services,Internet Content,$70 697 000 000,$18 485 000 000,2012,Y,Y,Y,2030,2020,N,Y,Y,2020,  207 000 ,  44 000 ,  -   ,  251 000 , NR ,  ,  314 000 ,  42 000 ,  -   ,  356 000 , NR ,  ,  568 000 ,  48 800 ,  -   ,  616 800 , NR ,  ,  516 000 ,  39 000 ,  -   ,  555 000 , NR ,  ,  423 000 ,  28 000 ,  -   ,  451 000 , NR ,  ,Y,"-Policy engagement through coalitions like ""We are Still In"" and ""Greenpeace's Clicking clean Initiative""
-No offset or Scope 3 data available- data difficult to find",,
FedEx,FedEx,Industrials,Logistics,$69 693 000 000,$540 000 000,1971,Y,N,N,,,N,N,N,N,  15 406 173 ,  995 988 ,  -   ,  16 402 161 ,  3 099 293 ,  19 501 454 ,  15 152 383 ,  1 049 987 ,  -   ,  16 202 370 ,  2 820 965 ,  19 023 335 ,  14 053 599 ,  1 094 109 ,  -   ,  15 147 708 ,  2 642 415 ,  17 790 123 ,  13 759 865 ,  958 526 ,,  14 718 391 ,  2 400 675 ,  17 119 066 ,  13 751 187 ,  970 981 ,,  14 722 168 ,  2 074 329 ,  16 796 497 ,Y,"-Target reductions focus on intensity, not overall emissions (30% reduction in aircraft emissions intenisity by 2020 from 2005 baseline)
- Participants in renewable energy buyers alliance, electrification coalition, and other alliances to engage in policy","Scope 3 is non-exhaustive
Scope 2 is location-based",
Ford Motor Company,Ford,Consumer Discretionary,Automotive,$155 900 000 000,$47 000 000,1956,Y,Y,N,2050,2020,N,N,Y,2035,  1 451 947 ,  3 068 182 ,,  4 520 129 ,  183 077 722 ,  187 597 851 ,  1 442 963 ,  3 349 808 ,  -   ,  4 792 771 ,  134 409 771 ,  139 202 542 ,  1 389 740 ,  3 482 444 ,  -   ,  4 872 184 , NR ,  ,  1 304 409 ,  3 312 936 ,,  4 617 345 ,  147 035 685 ,  151 653 030 , NR , NR ,,  , NR ,  ,Y ,-- working with California on Clean Car standards starting in 2019,,
General Dynamics,General Dynamics,Industrials,Industrials,$39 350 000 000,$3 484 000 000,1899,Y,N,N,,,N,N,N,N,  317 081 ,  445 119 ,,  762 200 , NR ,  ,  306 430 ,  487 731 ,,  794 161 , NR ,  ,  305 836 ,  478 428 ,,  784 264 , NR ,  ,  298 276 ,  523 497 ,,  821 773 , NR ,  , NR , NR ,,  , NR ,  ,N,- No clear informationon goals or emissions data available ,,
General Electric,GE,Industrials,Machinery,$95 214 000 000,($5 439 000 000),1896,Y,N,N,2030,2020,N,N,N,N,  1 000 000 ,  1 390 000 ,,  2 390 000 ,  680 000 ,  3 070 000 ,  1 290 000 ,  1 510 000 ,  -   ,  2 800 000 ,  2 340 000 ,  5 140 000 ,  1 670 000 ,  2 110 000 ,  -   ,  3 780 000 ,  2 790 000 ,  6 570 000 ,  1 621 000 ,  2 207 000 ,,  3 828 000 ,  8 000 000 ,  11 828 000 ,  1 961 000 ,  2 572 000 ,,  4 533 000 ,  11 500 000 ,  16 033 000 ,Y,"- Carbon neutral targets not company wide, only for wind, solar division operations. Now targeting carbon neutrality for all operations
- Engaged in policy, but vague on how or through what channels",Scope 3 is non-exhaustive,
General Motors,GM,Consumer Discretionary,Automotive,$137 237 000 000,$6 581 000 000,1908,Y,Y,N,2050,2020,N,N,Y,2040,  1 589 700 ,  3 721 875 ,  -   ,  5 311 575 ,  249 384 317 ,  254 695 892 ,  1 763 555 ,  4 322 761 ,  -   ,  6 086 316 ,  264 563 698 ,  270 650 014 ,  1 848 804 ,  4 302 887 ,,  6 151 691 ,  286 310 319 ,  292 462 010 ,  1 815 001 ,  5 095 809 ,,  6 910 810 ,  320 911 918 ,  327 822 728 ,  1 863 495 ,  4 763 994 ,,  6 627 489 , NR ,  ,Y,,,
Gilead Sciences Inc.,Gilead Sciences,Healthcare,Drug Manufacturers,$22 449 000 000,$5 386 000 000,1992,Y,N,N,,,69620,N,N,N,  52 019 ,  21 716 ,,  73 735 ,  1 436 297 ,  1 510 032 ,  47 256 ,  26 647 ,,  73 903 ,  71 586 ,  145 489 ,  46 330 ,  46 217 ,  -   ,  92 547 ,  33 056 ,  125 603 ,  44 531 ,  48 296 ,  -   ,  92 827 ,  32 003 ,  124 830 , NR , NR ,,  , NR ,  ,N,"-Practicing green chemistry principles
- No policy arm specific to climate change/ carbon neutrality",,
Goldman Sachs Group,Goldman Sachs,Financial Services,Asset Management,$36 546 000 000,$8 470 000 000,1999,Y,Y,N,2015,2009,,Y,Y,2020,  12 673 ,  9 109 ,  -   ,  21 782 ,  135 473 ,  157 255 ,  11 565 ,  16 284 ,,  27 849 ,  139 893 ,  167 742 ,  11 231 ,  18 410 ,,  29 641 ,  120 001 ,  149 642 ,  11 520 ,  34 179 ,,  45 699 ,  102 266 ,  147 965 ,  11 900 ,  51 690 ,,  63 590 ,  148 918 ,  212 508 ,Y,"- founding member of Climate Leadership Council (CLC), advocating for a revenue-neutral carbon fee and dividend plan
- $2 billion in green operational investments to drive energy efficiency
- Aiming to reduce energy intensity by 20% by 2025 (from 2015 baseline)
- Certified 70 percent of offices to a green-building standard
- Committed all new construction to be LEED Gold-certified or equivalent
- Extend the green building certification of ISO 20121 standards to off-site events
-scope 3 just business travel",Scope 3 is non-exhaustive,"- https://www.goldmansachs.com/what-we-do/sustainable-finance/documents/carbon-emissions-verification.pdf
- https://www.goldmansachs.com/what-we-do/sustainable-finance/documents/reports/2019-sustainability-report.pdf
- https://www.goldmansachs.com/citizenship/sustainability-reporting/esg-content/esg-report-2017.pdf
- https://www.goldmansachs.com/what-we-do/sustainable-finance/our-sustainability-journey/#:~:text=2009%3A%20Committing%20to%20Carbon%20Neutrality,neutral%20starting%20from%202015%20onwards."
Home Depot,Home Depot,Consumer Discretionary,Retail,$110 200 000 000 ,$11 240 000 000 ,1981,Y,N,N,,,"From 2018 baseline, 40% reduction by 2030 and 50% reduction by 2035",N,N,N,  554 317 ,  1 302 648 ,,  1 856 965 ,  204 637 598 ,  206 494 563 ,  516 246 ,  1 549 876 ,,  2 066 122 ,  317 875 090 ,  319 941 212 ,  433 633 ,  1 681 640 ,,  2 115 273 ,  3 791 806 ,  5 907 079 ,  438 335 ,  1 906 283 ,,  2 344 618 ,  2 293 060 ,  4 637 678 ,  388 664 ,  2 249 712 ,,  2 638 376 ,  2 133 972 ,  4 772 348 ,N,"- Investing in on-site solar
- Previous projects in energy efficiency (lighting, air conditioning) and supply and demand balancing on the grid",,"- https://corporate.homedepot.com/responsibility/protecting-the-climate
- https://live-home-depot-corporate.pantheonsite.io/sites/default/files/2019_Responsibility%20Report_FINAL_Master_Update.png_.pdf
- https://corporate.homedepot.com/sites/default/files/pdfs/2018_ResponsibilityReport_FINAL_LRS.PDF
- https://corporate.homedepot.com/sites/default/files/image_gallery/PDFs/THD_Responsibility%20Report%202017.pdf
- https://corporate.homedepot.com/sites/default/files/THD_0039_2015_Sustainability_Report_Online_Nov_10.pdf"
Honeywell Inc.,Honeywell,Industrials,Machinery,$36 709 000 000 ,$6 143 000 000 ,,Y,N,N,,,Reduce emissions by an additional 10% per dollar of revenue from 2018 levels (no target date specified),N,N,N,  1 090 649 ,  933 484 ,,  2 024 133 ,  18 087 050 ,  20 111 183 ,  1 479 149 ,  1 036 941 ,,  2 516 090 ,  18 863 846 ,  21 379 936 ,  1 355 420 ,  1 228 457 ,,  2 583 877 , NR ,  ,  2 699 554 ,  1 518 875 ,,  4 218 429 , NR ,  ,  3 526 031 ,  1 736 106 ,,  5 262 137 , NR ,  ,N,"- In 2019, Honeywell set a new five-year “10-10-10” target to reduce global greenhouse gas emissions by an additional 10% per dollar of revenue from 2018 levels, to deploy on at least 10 renewable energy opportunities, and to achieve certification to ISO’s 50001 Energy Management Standard at 10 facilities, all by 2024

- Systematically replacing lighting at our sites with LED technologies - over 800 LED lighting projects for an annualized savings of $7.5 million, 37,000 metric tons CO2e and 250 BBTU
- Over 400 projects to systematically address air leaks, optimize compressed air usage, and upgrade equipment, saving an annualized $9.2 million, 45,500 metric tons CO2e and 300 BBTU
- Energy awareness and kaizen events to engage employees in the identification of sustainability-related savings opportunities. For example, our Safety and Productivity Solutions business targeted its top 20 sites and generated over 200 energy savings ideas with 25% costing little or nothing to implement and potential annualized savings of $500,000
- Largest sites are required to identify their significant energy use in line with ISO 50001, obtain an energy audit on an established cycle, train personnel on energy management, and track identified projects via our standard database",,"- https://www.honeywell.com/content/dam/honeywell/files/Corporate_Citizenship_Report.pdf
- https://www.honeywell.com/content/dam/honeywell/files/Honeywell%20Greenhouse%20Gas%20Reporting%20Data-apr19.pdf"
IBM Corp.,IBM ,Technology,Information Technology Services,$77 140 000 000 ,$9 430 000 000 ,1911,Y,N,N,,,Reduce emissions 40% from 2005 to 2025,,N,55% by 2025,  114 640 ,  822 616 ,,  937 256 ,  1 158 416 ,  2 095 672 ,  124 633 ,  963 304 ,,  1 087 937 ,  1 346 702 ,  2 434 639 ,  124 700 ,  1 077 000 ,,  1 201 700 , NR ,  ,  133 300 ,  1 156 000 ,,  1 289 300 , NR ,  ,  354 046 ,  1 433 456 ,,  1 787 502 , NR ,  ,N,"- Virtualized and decommissioned over 152,000 servers from 2015 to 2017, saving 245 gigawatthours of electricity and $32.1 million
- Optimizing the use of energy across our operations (implemented approximately 1,900 energy conservation projects at nearly 300 locations in 2018)
- Purchasing renewable electricity where it makes both business and environmental sense
- Designing energy-efficient products
- Providing services and solutions that support our clients’ efforts to improve their operational efficiency
and reduce their climate impacts",,"- https://www.ibm.com/ibm/environment/annual/IBMEnvReport_2018.pdf
- https://www.ibm.com/ibm/environment/climate/ghg.shtml
- https://www.ibm.com/ibm/environment/annual/IBMEnvReport_2017.pdf
- https://www.ibm.com/ibm/environment/annual/IBMEnvReport_2016.pdf"
Intel Corp.,Intel,Technology,Electronics,$71 900 000 000 ,$21 000 000 000 ,1971,Y,N,N,,,"~1,400,000 Scope 1 + 2 by 2040 (in line with IPCC Reduction Target)",N,N,2030,  1 489 000 ,  1 299 000 ,,  2 788 000 ,  20 342 000 ,  23 130 000 ,  1 458 000 ,  1 120 000 ,,  2 578 000 ,  20 979 000 ,  23 557 000 ,  1 490 000 ,  971 000 ,,  2 461 000 ,  12 320 000 ,  14 781 000 ,  976 000 ,  647 000 ,,  1 623 000 ,  2 740 000 ,  4 363 000 ,  1 050 000 ,  950 000 ,,  2 000 000 ,  1 562 000 ,  3 562 000 ,Y,"2030 goals:
• Achieve 100% renewable energy use across our global manufacturing operations
• Conserve an additional 4 billion kWh of energy
• Drive an additional 10% reduction in our absolute Scope 1 and 2 carbon
emissions as we grow, informed by climate science
• Increase product energy efficiency 10x for Intel client and server microprocessors
to reduce our Scope 3 emissions

- Invested more than $145 million in energy-conservation projects (saving an estimated 3.19 billion kWh of energy)
- Installed more than 40 on-site projects that use solar, wind, fuel cell, and other alternative energy sources worldwide
- Remained the largest voluntary purchaser of green power in the United States
- Sustainability metrics tied to executive and employee performance since 2008
- Working on creating a carbon neutral PC / carbon neutral computing
- Policy engagement-collaborated with technology industry and EPA to influence  energy consumption targets for notebooks and desktop PCs",,"- https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2019-20-Full-Report.pdf
- http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2018-Full-Report.pdf
- https://csrreportbuilder.intel.com/PDFfiles/CSR-2017_Full-Report.pdf
- https://csrreportbuilder.intel.com/PDFfiles/CSR-2016_Full-Report.pdf
- http://csrreportbuilder.intel.com/PDFfiles/CSR-2015_Full-Report.pdf"
Johnson & Johnson,J&J,Healthcare,Drug Manufacturers,$82 060 000 000,$15 120 000 000,1944,Y,N,N,,,"Reduce Scope 1 + 2 emissions by 80% by 2050, from 2010 baseline

2010 Scope 1: 358,000
Scope 2: 898,000",N,Y,2050,  415 094 ,  518 542 ,,  933 636 ,  20 300 054 ,  21 233 690 ,  452 407 ,  583 361 ,,  1 035 768 ,  19 612 181 ,  20 647 949 ,  474 497 ,  639 323 ,,  1 113 820 ,  17 988 490 ,  19 102 310 ,  463 622 ,  694 257 ,,  1 157 879 ,  284 901 ,  1 442 780 ,  449 078 ,  724 819 ,,  1 173 897 ,  353 974 ,  1 527 871 ,Y,"- Investing in energy efficiency programs through our CO2 Capital Relief Program
- Reduced Scope 1 and Scope 2 GHG emissions by 32% since 2010 (in 2019), exceeding 2020 target
- 13% of all built space is LEED certified
- Became founding members of the Renewable Energy Buyers Alliance (REBA) to advance a zero-carbon energy and secured four new PPAs totaling over 370,000 megawatt-hours (MWh) per year, and installed a 3.4 MW capacity windmill at Belgium chemical plant
- Aiming for 35% renewable energy by 2020","Seems like somewhat of a laggard in terms of carbon reduction (not very ambitious goals or initiatives) but CDP has them on their A list (maybe that's just for their diclosure)

Scope 2 is location-based","- https://healthforhumanityreport.jnj.com/environmental-health/climate-resilience
- https://www.jnj.com/_document/2017-health-for-humanity-report-johnson-johnson?id=0000016c-4ece-dd15-a37d-6feeda030000
- https://healthforhumanityreport.jnj.com/_document/health-for-humanity-2020-goals-scorecard?id=00000172-5b7e-d027-a1fa-fb7e9b460000"
JPMorgan Chase & Co.,JPMorgan Chase ,Financial Services,Banks,$115 600 000 000,$36 430 000 000,1940,Y,N,N,,,,Y,Y,2020,  81 655 ,  556 142 ,,  637 797 ,  181 004 ,  818 801 ,  83 101 ,  572 067 ,,  655 168 ,  176 356 ,  831 524 ,  78 229 ,  596 843 ,,  675 072 ,  187 020 ,  862 092 ,  79 556 ,  780 710 ,,  860 266 ,  130 430 ,  990 696 ,  82 525 ,  844 403 ,,  926 928 ,  138 878 ,  1 065 806 ,Y,"- 100% renewable energy by 2020 through on-site renewable energy, PPAs, and RECs
- Created a dedicated risk team focused on climate
- Integrated climate-related risks into the processes the firm uses to identify, assess and review the most material risks to our business
- Evaluating stress testing approaches to deepen understanding of the relationship between climate change and financial impact to the firm
- Offset 100% of employee air and rail travel emissions in 2019
-joined Climate Leadership Council, which promotes a bipartisan roadmap for a revenue neutral carbon tax-and-dividend in the US
- Scope 3: + (just employee air travel)",Scope 3 non-exhaustive,"- https://institute.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-climate-report-2019.pdf
- https://www.jpmorganchase.com/corporate/news/pr/jpmorgan-chase-expands-commitment-to-low-carbon-economy-and-clean-energy.htm
- https://impact.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-esg-report-2016.pdf
- https://about.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-esg-report-2019.pdf"
Kinder Morgan Inc.,Kinder Morgan,Energy,Oil and Gas,$13 209 000 000,$2 190 000 000,2011,Y,N,N,,,,Y,N,, NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,"- ONE Future: Working with the EPA to identify the most effective means of implementing methane emission reductions at natural gas transmission and storage operations. Through ONE Future, we committed to achieving a methane emission intensity target of 0.31% across our natural gas transmission and storage operations by 2025",Planning to start measuring Scope 1 and 2 emissions starting in 2021,- https://www.kindermorgan.com/WWWKM/media/Documents/2018_ESG_Report_1.pdf
Kraft Heinz Co,Kraft Heinz,Consumer Staples,Food & Beverage,$24 970 000 000,$1 935 000 000,2001,Y,N,Y,,,,,,,  649 256 ,  773 066 ,,  1 422 322 ,  23 277 533 ,  24 699 855 ,  649 256 ,  773 066 ,,  1 422 322 ,  22 922 723 ,  24 345 045 ,  709 692 ,  765 557 ,,  1 475 249 ,  21 519 075 ,  22 994 324 ,  742 200 ,  800 400 ,,  1 542 600 ,  26 565 258 ,  28 107 858 ,  769 761 ,  804 156 ,,  1 573 917 ,,  1 573 917 ,,"- 15% reduction in GHG emissions by 2020 from 2015 baseline
- Energy reduction initiatives
- Investing in renewable energy technology for our manufacturing plants
- Conducting a mapping of our direct supply chain of palm oil and soy to assess deforestation risks and develop action plans
- Having Kraft Heinz agronomists directly engage growers and farmers of key raw materials to enact best practices for environmental efficiencies, such as increased yields, optimization of fertilizer application, water conservation and an overall increase in crop resilience
- Joining the Science Based Targets Initiative to set science-based greenhouse gas emissions reduction goals in its supply chain
- Aiming to make 100 percent of our packaging globally recyclable, reusable or compostable by 2025",2018 Scope 1 + 2 were not measured so 2019 data was used as a proxy,"- https://www.cdp.net/en/formatted_responses/responses?campaign_id=62255737&discloser_id=729753&locale=en&organization_name=The+Kraft+Heinz+Company&organization_number=58857&program=Investor&project_year=2018&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2Fft9rgfbw%2F29892&survey_id=58150509
- https://www.cdp.net/en/formatted_responses/pages?locale=en&organization_name=The+Kraft+Heinz+Company&organization_number=58857&program=Investor&project_year=2017&redirect=https%3A%2F%2Fwww.cdp.net%2Fsites%2F2017%2F57%2F58857%2FClimate+Change+2017%2FPages%2FDisclosureView.aspx"
Lockheed Martin Corp.,Lockheed Martin ,Industrials,Aerospace ,$59 810 000 000 ,$6 230 000 000 ,~1995,Y,N,N,,,"35% Scope 1 + 2 reduction from 2010 to 2020 (2010 Scope 1 + 2 emissions: 1,271,358)

70% reduction in emissions per $ gross profit from 2015 to 2030",,N,,  305 362 ,  466 073 ,,  771 435 ,  30 584 500 ,  31 355 935 ,  291 782 ,  527 766 ,,  819 548 ,  30 551 000 ,  31 370 548 ,  291 523 ,  552 851 ,,  844 374 ,  30 605 000 ,  31 449 374 ,  302 679 ,  501 566 ,,  804 245 ,,  804 245 , N , N , N ,  , N ,  ,N,"- Energy efficiency programs (25% reduction from 2010 to 2020), lighting upgrades, and other emissions reduction strategies
- Developing a state-of-the-art Geostationary Carbon Observatory, or GeoCarb, with the University of Oklahoma and NASA’s Jet Propulsion Laboratory. GeoCarb aims to advance our collective understanding of the global carbon cycle by mapping key carbon gases from geostationary orbit. Over time, this technology can contribute much-needed data to support climate adaptation and resiliency efforts","Goals are mostly qualitative without many hard targets set

Goals were difficult to find","- https://sustainability.lockheedmartin.com/sustainability/downloads/Lockheed_Martin_Sustainability_Report_Full_2019.pdf
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/photo/sustainability/CDP%20CC%202019.pdf
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/sustainability/2018%20Lockheed%20Martin%20Sustainability%20Report%20and%20GHG%20Verification%20Assurance_Final_4.18.19.pdf
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/sustainability/Lockheed_Martin_Sustainability_Report_Full_2018.pdf
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/sustainability/Lockheed_Martin_Sustainability_Report_Full_2017.pdf
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/sustainability/sustainability-report-2016-web.pdf
- https://lockheedmartin.com/content/dam/lockheed-martin/eo/documents/sustainability/verification-2019.pdf
- Letters of assurance
- https://app.one-report.com/report/qgri_index.html?categoryid=1475&qid=3861&rid=ODQwMDMyNjU3&arid=NDc0ODgwMTAx&companyid=924&year=2020
- https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/photo/sustainability/CDP%20CC%202019.pdf"
"Lowe's Companies, Inc.",Lowe's,Consumer Discretionary,Retail,$71 300 000 000 ,$2 307 000 000 ,1961,Y,N,N,,,40% reduction in Scope 1 + 2 from 2016 to 2030,,N,,  484 737 ,  1 623 768 ,,  2 108 505 ,  123 645 060 ,  125 753 565 ,  473 689 ,  1 932 514 ,,  2 406 203 ,  342 642 973 ,  345 049 176 ,  400 000 ,  2 022 000 ,,  2 422 000 , NR ,  ,  354 000 ,  2 054 000 ,,  2 408 000 , NR ,  ,  368 000 ,  2 322 000 ,,  2 690 000 , NR ,  ,,"- Offered $34 million in discounts to customers who purchased energy efficient products
- Aim for 100% of our strategic suppliers to have sustainability goals by 2025
- By 2030, increase share of energy that is renewable
- Use a building management system (BMS) to maximize the efficiency of assets, such as lighting, HVAC and generators; leverage internal and third-party resources to calculate the performance of assets, inform retrofitting projects and improve energy use (99% of stores have BMS installed)
- LED lighting retrofit program
- Collaboration between vendors, stores and DCs via our Intermodal, Reverse Logistics and Backhaul programs to reduce empty truck miles, emissions and environmental impact. In the U.S., we monitor and audit provider fleets and use a transportation management system to optimize routes, combining loads to make deliveries more efficient",,"- https://corporate.lowes.com/sites/lowes-corp/files/2020-07/Lowes_2019_FINAL_optimized.pdf
- https://corporate.lowes.com/sites/lowes-corp/files/CSR-reports/lowes-2018cr-report.pdf
- https://corporate.lowes.com/sites/lowes-corp/files/CSR-reports/Lowes_2017CRReport_FramingOurFuture.pdf"
MasterCard Inc.,MasterCard,Financial Services,Credit Services,$16 883 000 000,$8 120 000 000,2006,Y,N,Y,,,"20% reduction in Scope 1, 2 + 3 from 2016 to 2025",,Y,2020,  4 758 ,  162 ,,  4 920 ,  503 012 ,  507 933 ,  4 828 ,  52 859 ,,  57 687 ,  495 962 ,  553 649 ,  6 587 ,  64 917 ,,  71 504 ,  471 614 ,  543 118 ,  4 486 ,  94 728 ,,  99 214 ,  849 277 ,  948 491 , NR , NR ,,  , NR ,  ,,"- 100% renewable energy (currently 2% on-site solar, 11% directly procured renewable energy, and 87% RECs - working on installing on-site renewable energy to reduce reliance on RECs)
- 79% green-certified buildings
- Working directly with suppliers on climate initiatives to reduce Scope 3 emissions
- Launched the Priceless Planet Coalition, which encourage corporates to invest in energy-efficient workplaces and operations, source renewable energy and maintain sustainable supply chains to reduce carbon footprints",First payments company to set an approved Science Based Target,"- https://www.mastercard.us/content/dam/mccom/global/aboutus/Sustainability/mastercard-sustainability-report-2018.pdf
- https://www.smart-energy.com/industry-sectors/policy-regulation/mastercard-unveils-priceless-planet-coalition-to-combat-climate-change/"
